"","Symbol","imprinted","Type","mono.9....","skew.8....","skew.7....","indeterminate....","bi....","subjects","conflict","FPKM","chip.SNPs","imputed.SNPS","Biased.SNPs..binomial.....","chr","start","end","gene.type","file.size","imprinting.status","seg","cluster","score"
"FAM50B","FAM50B","known_imprinted","mono.9 known",98.9,1.1,0,0,0,93,0,11,1,5,"0.20 (1/5)","chr 6",3849619,3851551,"protein_coding",96168,"known imprinted",7,"clus 7 (chr 6)",0.989247311827957
"NDN","NDN","known_imprinted","mono.9 known",98.8,1.2,0,0,0,84,0,30,0,4,"0.00 (0/4)","chr 15",23930564,23932450,"protein_coding",81044,"known imprinted",28,"clus 28 (chr 15)",0.988095238095238
"SNURF","SNURF","known_imprinted","mono.9 known",98.6,0.7,0.7,0,0,293,0,300,1,6,"0.00 (0/6)","chr 15",25200132,25245423,"protein_coding",101561,"known imprinted",28,"clus 28 (chr 15)",0.986348122866894
"PEG10","PEG10","known_imprinted","mono.9 known",98.5,0.8,0.5,0,0.3,394,0,54,5,15,"0.00 (0/15)","chr 7",94285636,94299007,"protein_coding",197194,"known imprinted",13,"clus 13 (chr 7)",0.984771573604061
"SNRPN","SNRPN","known_imprinted","mono.9 known",98.3,0.8,0.6,0.3,0,363,0,161,2,12,"0.00 (0/12)","chr 15",25068793,25223870,"protein_coding",180524,"known imprinted",28,"clus 28 (chr 15)",0.983471074380165
"KCNQ1OT1","KCNQ1OT1","known_imprinted","mono.9 known",98,1.3,0.7,0,0,301,11,2,21,156,"0.05 (8/154)","chr 11",2629557,2721224,"antisense",1179825,"known imprinted",20,"clus 20 (chr 11)",0.980769230769231
"ZDBF2","ZDBF2","known_imprinted","mono.9 known",97.9,1.4,0.5,0.2,0,428,1,24,27,40,"0.10 (4/40)","chr 2",207139386,207179148,"protein_coding",413867,"known imprinted",4,"clus 4 (chr 2)",0.979020979020979
"GRB10","GRB10","known_imprinted","mono.9 known",93.9,5,0.5,0.6,0,377,0,33,5,24,"0.08 (2/24)","chr 7",50657759,50861159,"protein_coding",256987,"known imprinted",11,"clus 11 (chr 7)",0.93368700265252
"SNORD116-20","SNORD116-20","1 M impr clstr","mono.9 novel",93.7,5.8,0.5,0,0,191,1,107,1,10,"0.00 (0/10)","chr 15",25332807,25334043,"lincRNA",163386,"nearby candidate",28,"clus 28 (chr 15)",0.932291666666667
"KCNK9","KCNK9","known_imprinted","mono.9 known",90.6,9.4,0,0,0,106,1,6,1,12,"0.09 (1/11)","chr 8",140613080,140715299,"protein_coding",149190,"known imprinted",17,"clus 17 (chr 8)",0.906542056074766
"INPP5F","INPP5F","known_imprinted","mono.9 known",89.6,7.6,2.3,0.5,0,395,1,101,5,19,"0.05 (1/19)","chr 10",121485608,121588652,"protein_coding",201582,"known imprinted",19,"clus 19 (chr 10)",0.893939393939394
"HLA-DRB5","HLA-DRB5","_","mono.9 novel",78,16.9,1.7,3.4,0,59,7,6,0,12,"0.58 (7/12)","chr 6",32485119,32498064,"protein_coding",270923,"distant candidate",-7,"inter clus 7",0.803030303030303
"RP13-487P22.1","RP13-487P22.1","1 M impr clstr","mono.9 novel",63.6,27.3,6.1,3,0,33,0,16,0,8,"0.00 (0/8)","chr 15",25590779,25592382,"sense_intronic",107088,"nearby candidate",28,"clus 28 (chr 15)",0.636363636363636
"GSTM1","GSTM1","_","mono.9 novel",60.6,0,3,24.3,12.1,33,0,8,0,2,"0.50 (1/2)","chr 1",110230435,110251661,"protein_coding",41502,"distant candidate",-2,"inter clus 2",0.606060606060606
"RPL23AP7","RPL23AP7","_","only one allele",35.3,11.8,17.6,35.3,0,17,10,7,0,2,"1.00 (2/2)","chr 2",114368078,114384667,"processed_transcript",93006,"distant candidate",-3,"inter clus 3",0.592592592592593
"MEST","MEST","known_imprinted","mono.9 known",59.9,37.9,1.9,0.3,0,314,1,36,3,9,"0.00 (0/9)","chr 7",130126011,130146133,"protein_coding",114864,"known imprinted",14,"clus 14 (chr 7)",0.587301587301587
"MRPL28","MRPL28","_","mono.9 novel",35.3,0,0,29.4,35.3,17,9,43,1,3,"0.33 (1/3)","chr 16",417383,420527,"protein_coding",98093,"distant candidate",-28,"inter clus 28",0.576923076923077
"IL1RL1","IL1RL1","_","mono.9 novel",57.1,14.3,14.3,10.7,3.6,28,0,4,2,7,"0.14 (1/7)","chr 2",102927961,102968497,"protein_coding",90028,"distant candidate",-3,"inter clus 3",0.571428571428571
"ZNF331","ZNF331","known_imprinted","mono.9 known",56.3,33.1,6.8,3.5,0.3,311,7,22,6,29,"0.07 (2/29)","chr 19",54024234,54083523,"protein_coding",269011,"known imprinted",32,"clus 32 (chr 19)",0.562893081761006
"MRPS34","MRPS34","_","mono.9 novel",48.6,0,0,40,11.4,35,3,29,1,2,"0.50 (1/2)","chr 16",1821890,1823156,"protein_coding",74006,"distant candidate",-28,"inter clus 28",0.526315789473684
"hsa-mir-335","hsa-mir-335","1 M impr clstr","mono.9 novel",58.1,35.5,6.5,0,0,31,0,1,0,6,"0.00 (0/6)","chr 7",130135634,130138268,"antisense",81399,"nearby candidate",14,"clus 14 (chr 7)",0.516129032258065
"DIRAS3","DIRAS3","known_imprinted","mono.9 known",50,34.6,15.4,0,0,26,0,3,2,4,"0.00 (0/4)","chr 1",68511644,68517314,"protein_coding",69467,"known imprinted",2,"clus 2 (chr 1)",0.5
"PWRN1","PWRN1","1 M impr clstr","mono.9 novel",47.1,31.4,12.9,8.6,0,70,4,6,0,10,"0.30 (3/10)","chr 15",24738283,24897277,"lincRNA",122611,"nearby candidate",28,"clus 28 (chr 15)",0.5
"GFRA2","GFRA2","_","mono.9 novel",34.5,0,3.4,17.3,44.8,29,9,14,1,3,"0.00 (0/3)","chr 8",21547914,21669869,"protein_coding",120585,"distant candidate",-15,"inter clus 15",0.5
"HLA-DQB1","HLA-DQB1","_","mono.9 novel",46,18.5,14.5,13.7,7.3,248,8,4,3,28,"0.63 (17/27)","chr 6",32627243,32636160,"protein_coding",378414,"distant candidate",-7,"inter clus 7",0.47265625
"HLA-DRB1","HLA-DRB1","_","skew.8 novel",17.7,41.1,19.9,15.6,5.7,141,76,18,1,24,"0.50 (12/24)","chr 6",32546545,32557625,"protein_coding",531139,"distant candidate",-7,"inter clus 7",0.465437788018433
"PAX8-AS1","PAX8-AS1","_","mono.9 novel",43.8,7.6,15.2,24.8,8.6,105,0,7,3,6,"0.33 (2/6)","chr 2",113969098,114034158,"antisense",76290,"distant candidate",-3,"inter clus 3",0.428571428571429
"HNRNPU","HNRNPU","_","mono.9 novel",40,0,0,8,52,25,1,105,0,2,"0.50 (1/2)","chr 1",245014467,245027844,"protein_coding",79214,"distant candidate",-2,"inter clus 2",0.423076923076923
"ZDHHC11","ZDHHC11","_","skew.8 novel",16,16,32,32,4,25,9,11,0,11,"0.11 (1/9)","chr 5",710470,851101,"protein_coding",285488,"distant candidate",-5,"inter clus 5",0.382352941176471
"NME1-NME2","NME1-NME2","_","mono.9 novel",32.3,1.5,0,7.7,58.5,65,6,170,0,2,"0.50 (1/2)","chr 17",49230919,49249108,"protein_coding",64395,"distant candidate",-29,"inter clus 29",0.380281690140845
"AHNAK","AHNAK","_","bi",24.3,0,0,16.2,59.5,37,7,35,0,3,"0.33 (1/3)","chr 11",62201015,62323707,"protein_coding",136788,"distant candidate",-21,"inter clus 21",0.363636363636364
"PPP1R37","PPP1R37","_","bi",0,0,5.6,83.3,11.1,18,10,13,0,3,"0.33 (1/3)","chr 19",45594653,45651335,"protein_coding",109369,"distant candidate",-31,"inter clus 31",0.357142857142857
"PRKAR1B","PRKAR1B","_","bi",14.3,2,4.1,8.2,71.4,49,16,151,0,10,"0.10 (1/10)","chr 7",588833,767287,"protein_coding",171694,"distant candidate",-10,"inter clus 10",0.353846153846154
"HLA-DQA1","HLA-DQA1","_","mono.9 novel",34.8,25.8,15.7,21.5,2.2,89,3,3,2,20,"0.40 (8/20)","chr 6",32595955,32614839,"protein_coding",266468,"distant candidate",-7,"inter clus 7",0.347826086956522
"ANKRD18A","ANKRD18A","_","skew.8 novel",26.9,11.5,15.4,42.4,3.8,26,3,8,0,7,"0.00 (0/6)","chr 9",38540565,38620657,"protein_coding",131336,"distant candidate",-18,"inter clus 18",0.344827586206897
"SYT7","SYT7","_","mono.9 novel",32.4,2.9,0,41.2,23.5,34,1,35,0,6,"0.20 (1/5)","chr 11",61282784,61348620,"protein_coding",96708,"distant candidate",-21,"inter clus 21",0.342857142857143
"TMIE","TMIE","_","only one allele",33.3,6.1,6.1,51.5,3,33,0,4,0,1,"1.00 (1/1)","chr 3",46742822,46752376,"protein_coding",63291,"distant candidate",-4,"inter clus 4",0.333333333333333
"RP11-54F2.1","RP11-54F2.1","_","mono.9 novel",33.3,0,0,50.8,15.9,69,0,4,0,1,"0.00 (0/1)","chr 5",10652322,10656037,"pseudogene",60748,"distant candidate",-5,"inter clus 5",0.333333333333333
"MACF1","MACF1","_","bi",7.1,0,3.6,53.6,35.7,28,10,150,2,7,"0.14 (1/7)","chr 1",39546987,39952849,"protein_coding",286773,"distant candidate",-1,"inter clus 1",0.315789473684211
"GPR75-ASB3","GPR75-ASB3","_","skew.7 novel",27.3,0,9.1,45.4,18.2,33,2,36,1,3,"0.00 (0/3)","chr 2",53759809,54087170,"protein_coding",101831,"distant candidate",-2,"inter clus 2",0.314285714285714
"THOC3","THOC3","_","skew.8 novel",21.4,10.7,35.7,28.6,3.6,28,4,9,0,4,"0.00 (0/4)","chr 5",175344875,175461683,"protein_coding",77481,"distant candidate",-6,"inter clus 6",0.3125
"AC008443.1","AC008443.1","_","skew.7 novel",25,0,12.5,45.8,16.7,24,2,2,0,2,"0.00 (0/2)","chr 5",180682719,180684578,"protein_coding",64482,"distant candidate",-6,"inter clus 6",0.307692307692308
"TRIM52","TRIM52","_","skew.7 novel",18.2,0,13.6,50,18.2,22,4,8,0,3,"0.00 (0/3)","chr 5",180681416,180688119,"protein_coding",91509,"distant candidate",-6,"inter clus 6",0.307692307692308
"CTXN1","CTXN1","_","skew.7 novel",20.6,4.8,11.1,52.4,11.1,63,9,12,0,3,"0.33 (1/3)","chr 19",7989371,7991051,"protein_coding",76546,"distant candidate",-30,"inter clus 30",0.305555555555556
"RP11-215G15.5","RP11-215G15.5","_","bi",28.6,0,0,7.8,63.6,77,2,13,1,14,"0.07 (1/14)","chr 5",10654331,10657928,"lincRNA",207129,"distant candidate",-5,"inter clus 5",0.30379746835443
"UBAC1","UBAC1","_","bi",17.9,0,3,38.8,40.3,67,12,25,2,6,"0.17 (1/6)","chr 9",138824814,138853226,"protein_coding",94072,"distant candidate",-18,"inter clus 18",0.30379746835443
"RAD23A","RAD23A","_","mono.9 novel",30,3.3,0,63.4,3.3,30,0,19,0,1,"0.00 (0/1)","chr 19",13056668,13064456,"protein_coding",73168,"distant candidate",-31,"inter clus 31",0.3
"CHST15","CHST15","_","bi",12,0,4,84,0,25,6,20,1,11,"0.00 (0/11)","chr 10",125767183,125853206,"protein_coding",144466,"distant candidate",-19,"inter clus 19",0.290322580645161
"D2HGDH","D2HGDH","_","bi",10.3,7.7,10.3,66.6,5.1,39,10,6,2,8,"0.38 (3/8)","chr 2",242673993,242708231,"protein_coding",156786,"distant candidate",-4,"inter clus 4",0.285714285714286
"H3F3B","H3F3B","_","bi",9.1,4.5,4.5,36.4,45.5,22,6,291,2,10,"0.00 (0/10)","chr 17",73772514,73781974,"protein_coding",149380,"distant candidate",-29,"inter clus 29",0.285714285714286
"SLC35E2B","SLC35E2B","_","skew.7 novel",0,16,20,44,20,25,10,20,1,12,"0.00 (0/10)","chr 1",1592938,1624167,"protein_coding",277041,"distant candidate",0,"inter clus 0",0.285714285714286
"ACVR1","ACVR1","_","bi",18.2,0,9.1,68.2,4.5,22,3,6,1,5,"0.00 (0/5)","chr 2",158592957,158732374,"protein_coding",87398,"distant candidate",-3,"inter clus 3",0.28
"IL6ST","IL6ST","_","bi",26.9,0,1,0.9,71.2,104,1,105,0,6,"0.33 (2/6)","chr 5",55230922,55290821,"protein_coding",165731,"distant candidate",-5,"inter clus 5",0.276190476190476
"LMO3","LMO3","_","bi",11.1,0,7.4,74.1,7.4,27,6,205,2,5,"0.00 (0/5)","chr 12",16701306,16763528,"protein_coding",80220,"distant candidate",-25,"inter clus 25",0.272727272727273
"PMP22","PMP22","_","bi",10,0,6.7,60,23.3,30,7,28,1,4,"0.25 (1/4)","chr 17",15133094,15168643,"protein_coding",86823,"distant candidate",-29,"inter clus 29",0.27027027027027
"RAB37","RAB37","_","bi",13.6,4.5,4.5,68.3,9.1,22,4,12,3,5,"0.20 (1/5)","chr 17",72666716,72743474,"protein_coding",89715,"distant candidate",-29,"inter clus 29",0.269230769230769
"MEAF6","MEAF6","_","bi",15,0,1.3,20,63.7,80,12,56,1,8,"0.25 (2/8)","chr 1",37958175,37980375,"protein_coding",116553,"distant candidate",-1,"inter clus 1",0.260869565217391
"PDPK1","PDPK1","1 M impr clstr","bi",17.4,0,0,45.6,37,46,5,10,0,4,"0.25 (1/4)","chr 16",2606356,2606359,"protein_coding",158117,"nearby candidate",29,"clus 29 (chr 16)",0.254901960784314
"FAM69C","FAM69C","_","bi",4.1,0,4.1,69.4,22.4,49,14,8,2,3,"0.33 (1/3)","chr 18",72102962,72125179,"protein_coding",78626,"distant candidate",-30,"inter clus 30",0.253968253968254
"AASDHPPT","AASDHPPT","_","bi",14.5,3.9,3.9,5.3,72.4,76,10,81,0,2,"0.00 (0/2)","chr 11",105946227,105969437,"protein_coding",69896,"distant candidate",-22,"inter clus 22",0.244186046511628
"SEPHS2","SEPHS2","_","bi",24,0,0,28,48,25,0,10,0,1,"0.00 (0/1)","chr 16",30454951,30457502,"protein_coding",55246,"distant candidate",-29,"inter clus 29",0.24
"ATG4B","ATG4B","_","bi",7.6,1.3,10.1,40.5,40.5,79,17,30,1,9,"0.78 (7/9)","chr 2",242576627,242613272,"protein_coding",238674,"distant candidate",-4,"inter clus 4",0.239583333333333
"SYCE1","SYCE1","_","skew.8 novel",23.5,20.6,23.5,29.5,2.9,34,0,3,2,3,"0.67 (2/3)","chr 10",135367403,135382876,"protein_coding",60548,"distant candidate",-19,"inter clus 19",0.235294117647059
"AFMID","AFMID","_","bi",17.3,0,9.6,59.6,13.5,52,4,22,0,3,"0.33 (1/3)","chr 17",76183397,76203782,"protein_coding",82272,"distant candidate",-29,"inter clus 29",0.232142857142857
"ADAP1","ADAP1","_","bi",21.5,0,1.1,15,62.4,93,2,51,0,6,"0.17 (1/6)","chr 7",937539,995043,"protein_coding",91903,"distant candidate",-10,"inter clus 10",0.231578947368421
"ACOX1","ACOX1","_","bi",16.7,0,0,25,58.3,24,2,27,1,6,"0.00 (0/6)","chr 17",73937587,73975515,"protein_coding",142075,"distant candidate",-29,"inter clus 29",0.230769230769231
"NLRP2","NLRP2","known_imprinted","skew.8 known",25,17.3,14.4,38.5,4.8,104,1,3,5,14,"0.38 (5/13)","chr 19",55464497,55512510,"protein_coding",143922,"known imprinted",32,"clus 32 (chr 19)",0.228571428571429
"FAIM","FAIM","_","skew.7 novel",17,7.5,11.3,45.3,18.9,53,4,14,0,4,"0.00 (0/4)","chr 3",138327447,138352218,"protein_coding",79595,"distant candidate",-4,"inter clus 4",0.228070175438597
"TMEM242","TMEM242","_","bi",17.4,3.1,3.1,41,35.4,161,11,11,0,5,"0.60 (3/5)","chr 6",157710417,157744633,"protein_coding",104729,"distant candidate",-9,"inter clus 9",0.226744186046512
"CADM3","CADM3","_","bi",15.2,0,0,0,84.8,33,3,62,1,6,"0.00 (0/6)","chr 1",159141398,159173103,"protein_coding",100304,"distant candidate",-2,"inter clus 2",0.222222222222222
"CTA-134P22.2","CTA-134P22.2","_","bi",15.2,0,0,0,84.8,33,3,11,1,4,"0.00 (0/4)","chr 1",159165774,159177763,"antisense",81185,"distant candidate",-2,"inter clus 2",0.222222222222222
"ANKS1B","ANKS1B","_","bi",0,0,3.6,25,71.4,28,8,156,1,9,"0.00 (0/9)","chr 12",99120234,100378432,"protein_coding",152225,"distant candidate",-25,"inter clus 25",0.222222222222222
"IGF2","IGF2","known_imprinted","skew.8 known",23.2,35.8,25.3,14.6,1.1,95,0,2,3,6,"0.17 (1/6)","chr 11",2150341,2170833,"protein_coding",90775,"known imprinted",20,"clus 20 (chr 11)",0.221052631578947
"RBFOX2","RBFOX2","_","bi",13.8,0,10.3,38,37.9,29,3,83,0,7,"0.14 (1/7)","chr 22",36134782,36424473,"protein_coding",113720,"distant candidate",-36,"inter clus 36",0.21875
"PLEKHM3","PLEKHM3","_","bi",14.2,0,0.6,9.5,75.7,169,16,35,0,1,"1.00 (1/1)","chr 2",208693026,208890284,"protein_coding",80774,"distant candidate",-4,"inter clus 4",0.216216216216216
"AGGF1","AGGF1","_","bi",13.2,2.6,0,50,34.2,38,4,30,0,3,"0.00 (0/3)","chr 5",76325075,76361059,"protein_coding",73774,"distant candidate",-5,"inter clus 5",0.214285714285714
"KCNAB1","KCNAB1","_","bi",8.3,4.2,6.2,54.2,27.1,48,8,39,2,4,"0.00 (0/4)","chr 3",155755489,156256545,"protein_coding",104369,"distant candidate",-4,"inter clus 4",0.214285714285714
"ZBTB21","ZBTB21","_","bi",0,0,4.5,86.4,9.1,22,6,10,6,9,"0.11 (1/9)","chr 21",43406939,43430496,"protein_coding",117399,"distant candidate",-35,"inter clus 35",0.214285714285714
"PPP1R15B","PPP1R15B","_","bi",16.1,0,0,29.1,54.8,31,2,19,0,6,"0.00 (0/6)","chr 1",204372514,204380919,"protein_coding",114284,"distant candidate",-2,"inter clus 2",0.212121212121212
"CDC42BPB","CDC42BPB","_","bi",8.6,4.3,6.4,40,40.7,140,22,33,1,4,"0.00 (0/4)","chr 14",103398715,103523799,"protein_coding",88995,"distant candidate",-27,"inter clus 27",0.209876543209877
"GCC2","GCC2","_","skew.8 novel",10.8,63.5,16.2,9.5,0,74,12,69,0,9,"0.12 (1/8)","chr 2",109065016,109125871,"protein_coding",168217,"distant candidate",-3,"inter clus 3",0.209302325581395
"MAFG","MAFG","_","bi",20.8,2.1,4.2,62.5,10.4,48,0,13,0,2,"0.50 (1/2)","chr 17",79876145,79885590,"protein_coding",59136,"distant candidate",-29,"inter clus 29",0.208333333333333
"HIPK2","HIPK2","_","bi",8,0.7,4.3,38.4,48.6,138,22,19,1,14,"0.38 (5/13)","chr 7",139246315,139477577,"protein_coding",209555,"distant candidate",-14,"inter clus 14",0.20625
"KLRC2","KLRC2","_","skew.8 novel",18.4,26.3,18.4,36.9,0,38,1,2,0,3,"0.00 (0/3)","chr 12",10579452,10594899,"protein_coding",66380,"distant candidate",-25,"inter clus 25",0.205128205128205
"TRAPPC5","TRAPPC5","_","bi",17.6,0,5.9,28.3,48.2,85,3,90,0,3,"0.00 (0/3)","chr 19",7745728,7747744,"protein_coding",69822,"distant candidate",-30,"inter clus 30",0.204545454545455
"TIMM21","TIMM21","_","bi",6.1,0,2,41.9,50,148,26,21,1,3,"0.33 (1/3)","chr 18",71815745,71826197,"protein_coding",78533,"distant candidate",-30,"inter clus 30",0.201149425287356
"DGCR2","DGCR2","1 M impr clstr","bi",0.6,4.8,7.1,47.6,39.9,168,41,28,2,8,"0.25 (2/8)","chr 22",19023794,19109967,"protein_coding",159645,"nearby candidate",36,"clus 36 (chr 22)",0.200956937799043
"CBWD2","CBWD2","_","skew.7 novel",20,0,12,64,4,25,0,9,0,1,"0.00 (0/1)","chr 2",114195267,114253766,"protein_coding",55304,"distant candidate",-3,"inter clus 3",0.2
"CELSR2","CELSR2","_","bi",9.1,0,4.5,40.9,45.5,22,3,24,2,8,"0.00 (0/8)","chr 1",109792640,109818372,"protein_coding",212360,"distant candidate",-2,"inter clus 2",0.2
"AIFM3","AIFM3","_","bi",16.3,0,6.5,35.9,41.3,92,4,36,1,10,"0.00 (0/10)","chr 22",21319395,21335649,"protein_coding",143193,"distant candidate",-36,"inter clus 36",0.197916666666667
"FKBP1A","FKBP1A","_","bi",14.4,3.9,10.8,11.6,59.3,305,20,52,0,4,"0.50 (2/4)","chr 20",1349621,1373806,"protein_coding",74310,"distant candidate",-32,"inter clus 32",0.196923076923077
"MCAM","MCAM","_","skew.7 novel",8.4,10.4,13.6,50.1,17.5,154,21,16,2,9,"0.22 (2/9)","chr 11",119179240,119192231,"protein_coding",130521,"distant candidate",-23,"inter clus 23",0.194285714285714
"GJA1","GJA1","_","bi",19.3,0,0,3.5,77.2,57,0,115,0,2,"0.50 (1/2)","chr 6",121756837,121770873,"protein_coding",59748,"distant candidate",-8,"inter clus 8",0.192982456140351
"ZNF286A","ZNF286A","_","skew.7 novel",7.5,16.1,34.4,42,0,93,16,16,1,10,"0.40 (4/10)","chr 17",15602890,15648092,"protein_coding",176744,"distant candidate",-29,"inter clus 29",0.192660550458716
"APOL6","APOL6","_","skew.7 novel",4.8,19,9.5,61.9,4.8,21,5,4,0,6,"0.17 (1/6)","chr 22",36044441,36064456,"protein_coding",176997,"distant candidate",-36,"inter clus 36",0.192307692307692
"PDK2","PDK2","_","bi",0,0,5.5,78.1,16.4,55,13,25,1,8,"0.12 (1/8)","chr 17",48172100,48189516,"protein_coding",113578,"distant candidate",-29,"inter clus 29",0.191176470588235
"SAMD14","SAMD14","_","bi",0,0,5.5,78.1,16.4,55,13,9,1,9,"0.11 (1/9)","chr 17",48187403,48207246,"protein_coding",119432,"distant candidate",-29,"inter clus 29",0.191176470588235
"GP1BB","GP1BB","1 M impr clstr","bi",19,1.7,3.4,56.9,19,58,0,7,0,1,"0.00 (0/1)","chr 22",19710467,19712294,"protein_coding",52244,"nearby candidate",36,"clus 36 (chr 22)",0.189655172413793
"SEPT5","SEPT5","1 M impr clstr","bi",19,1.7,3.4,56.9,19,58,0,130,0,1,"0.00 (0/1)","chr 22",19701986,19712295,"protein_coding",53083,"nearby candidate",36,"clus 36 (chr 22)",0.189655172413793
"SCG5","SCG5","_","bi",18.9,3.3,4.4,11.2,62.2,90,0,209,0,1,"1.00 (1/1)","chr 15",32933876,32989299,"protein_coding",51108,"distant candidate",-28,"inter clus 28",0.188888888888889
"LRRC28","LRRC28","_","skew.8 novel",13.3,16.7,10,53.3,6.7,30,2,24,1,10,"0.00 (0/10)","chr 15",99791566,99930934,"protein_coding",142269,"distant candidate",-28,"inter clus 28",0.1875
"UBE3A","UBE3A","known_imprinted","skew.8 known",22,39,16.9,22.1,0,59,0,69,3,5,"0.00 (0/5)","chr 15",25582380,25684128,"protein_coding",103912,"known imprinted",28,"clus 28 (chr 15)",0.186440677966102
"SCYL1","SCYL1","_","bi",18.5,0,3.7,29.7,48.1,27,0,27,0,1,"0.00 (0/1)","chr 11",65292547,65306175,"protein_coding",50235,"distant candidate",-21,"inter clus 21",0.185185185185185
"SLC45A1","SLC45A1","_","bi",12,0,4,72,12,25,2,5,2,7,"0.00 (0/7)","chr 1",8377885,8404227,"protein_coding",93529,"distant candidate",-1,"inter clus 1",0.185185185185185
"LINC01128","LINC01128","_","bi",11.1,4.4,11.1,71.2,2.2,45,4,11,0,12,"0.09 (1/11)","chr 1",762987,794826,"lincRNA",189050,"distant candidate",0,"inter clus 0",0.183673469387755
"LZTS3","LZTS3","_","bi",6.9,0,1.4,16.7,75,72,10,38,1,7,"0.00 (0/7)","chr 20",3143262,3154192,"protein_coding",114814,"distant candidate",-32,"inter clus 32",0.182926829268293
"EGFL7","EGFL7","_","bi",11.5,1.6,1.6,49.2,36.1,122,10,32,1,5,"0.20 (1/5)","chr 9",139553307,139567130,"protein_coding",90688,"distant candidate",-18,"inter clus 18",0.181818181818182
"TOX","TOX","_","bi",11.1,2.8,11.1,75,0,36,3,9,2,4,"0.25 (1/4)","chr 8",59717976,60031767,"protein_coding",71259,"distant candidate",-15,"inter clus 15",0.17948717948718
"HIVEP2","HIVEP2","_","bi",11.5,0,3.8,30.9,53.8,26,2,37,0,6,"0.00 (0/6)","chr 6",143072603,143266338,"protein_coding",144601,"distant candidate",-8,"inter clus 8",0.178571428571429
"UBE2S","UBE2S","1 M impr clstr","skew.7 novel",17.8,9.6,17.8,50.7,4.1,73,0,12,0,2,"0.00 (0/2)","chr 19",55912651,55919145,"protein_coding",58444,"nearby candidate",32,"clus 32 (chr 19)",0.178082191780822
"TSPAN33","TSPAN33","_","bi",15.5,0,7,60.6,16.9,71,2,12,0,3,"0.00 (0/3)","chr 7",128784711,128808671,"protein_coding",67393,"distant candidate",-13,"inter clus 13",0.178082191780822
"APOL4","APOL4","_","skew.7 novel",11.9,7.1,19,38.2,23.8,42,3,1,4,12,"0.09 (1/11)","chr 22",36585171,36600886,"protein_coding",123497,"distant candidate",-36,"inter clus 36",0.177777777777778
"CCDC144B","CCDC144B","_","skew.7 novel",0,16.2,37.8,43.3,2.7,37,8,24,0,7,"0.00 (0/7)","chr 17",18441116,18528930,"pseudogene",214518,"distant candidate",-29,"inter clus 29",0.177777777777778
"VPS4A","VPS4A","_","bi",4.1,4.1,8.2,81.6,2,49,8,46,0,4,"0.25 (1/4)","chr 16",69345258,69358949,"protein_coding",114154,"distant candidate",-29,"inter clus 29",0.175438596491228
